sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
33302791795,2021-08-09T08:00:30Z,37,18,15,4,38,78,0.234221599
33292303575,2021-08-08T13:53:30Z,59,18,18,23,57,79,0.180914513
33292303574,2021-08-07T11:44:30Z,88,22,21,45,104,79,0.129957806
33263811332,2021-08-06T08:05:30Z,71,21,18,32,56,81,0.18727491
33252169553,2021-08-05T07:34:00Z,76,21,18,37,78,78,0.124489796
33252169552,2021-08-04T07:07:30Z,69,21,18,30,75,77,0.103109656
33252169551,2021-08-03T07:29:30Z,76,21,19,36,66,78,0.120890774
33214248774,2021-08-02T07:38:30Z,66,16,20,30,44,78,0.128872367
33204688434,2021-08-01T12:56:30Z,82,21,20,41,43,80,0.135885167
33192762257,2021-07-31T15:06:00Z,81,21,19,41,74,79,0.156965337
33181085143,2021-07-30T07:08:30Z,81,21,18,42,64,77,0.104231166
33165418656,2021-07-29T07:04:30Z,82,21,18,43,69,75,0.102986612
33148049494,2021-07-28T07:30:30Z,77,19,18,40,39,78,0.152941176
33148049493,2021-07-26T07:53:30Z,71,21,16,34,89,77,0.174638487
33148049492,2021-07-25T12:09:00Z,85,22,19,44,91,77,0.14173913
33148049491,2021-07-24T11:38:30Z,88,21,22,45,70,76,0.125733445
33148049490,2021-07-23T08:21:00Z,69,17,19,33,58,77,0.174011299
33148049489,2021-07-22T12:14:00Z,75,19,20,36,67,76,0.118717504
33061970061,2021-07-21T10:31:30Z,78,21,18,39,84,76,0.170638704
33051671732,2021-07-20T07:53:30Z,71,21,22,28,43,77,0.097799511
33036253383,2021-07-19T07:53:30Z,78,21,21,36,64,78,0.128205128
33024332043,2021-07-18T13:24:30Z,87,23,20,44,114,78,0.135617416
33013063787,2021-07-17T13:55:00Z,83,22,19,42,84,78,0.151155116
32997416366,2021-07-16T07:53:30Z,74,22,17,35,92,77,0.150248756
32985755104,2021-07-15T07:53:30Z,73,21,18,34,57,77,0.156069364
32973106877,2021-07-14T07:54:00Z,76,21,16,39,56,77,0.165745856
32959164784,2021-07-13T07:53:30Z,72,21,20,31,65,79,0.132121212
32947058908,2021-07-12T07:42:30Z,49,16,16,17,43,79,0.192714454
32947058907,2021-07-11T10:43:00Z,64,19,10,35,91,78,0.163898117
32947058906,2021-07-09T12:37:00Z,74,21,20,33,66,78,0.094890511
32947058905,2021-07-08T07:46:30Z,77,22,18,37,88,78,0.143798024
32883385912,2021-07-07T14:01:30Z,69,17,20,32,90,77,0.107995846
32883385911,2021-07-06T11:22:00Z,64,18,19,27,57,79,0.168236878
32857646831,2021-07-05T11:49:30Z,84,21,18,45,76,79,0.161032028
32845170450,2021-07-04T10:33:30Z,86,24,18,44,127,78,0.105394191
32834707507,2021-07-03T10:32:30Z,61,18,12,31,91,77,0.193241816
32834707506,2021-07-02T09:07:30Z,69,21,16,32,48,77,0.170035672
32834707505,2021-07-01T12:21:30Z,88,23,20,45,109,78,0.134135856
32834707503,2021-06-30T09:06:30Z,79,20,22,37,50,78,0.112
32777605871,2021-06-29T10:58:30Z,77,21,22,34,65,80,0.094850949
32762958402,2021-06-28T12:16:00Z,85,20,21,44,74,83,0.131770412
32762958401,2021-06-27T12:23:30Z,85,21,19,45,77,82,0.124510572
32724698555,2021-06-25T11:54:00Z,75,21,13,41,60,82,0.136910268
32707859587,2021-06-24T11:14:00Z,80,21,21,38,80,81,0.112244898
32696569026,2021-06-23T10:10:30Z,87,21,22,44,63,81,0.117030568
32686750099,2021-06-22T07:04:30Z,68,21,14,33,70,78,0.122919334
32686750098,2021-06-21T09:00:00Z,67,19,16,32,75,77,0.10058309
